time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.25559e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.442457	0.58034	5.20855	0	0	radar	335.377	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.716365	0.58034	5.39592	-1.72346e-08	-2.29794e-07	lidar	10.0139	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.02545	0.580336	5.66384	-2.04519e-05	-0.000279221	radar	20.8099	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.32755	0.580328	5.78028	-3.56432e-05	-0.000291341	lidar	4.99796	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.6157	0.58028	5.72002	-0.000130556	-0.00083735	radar	2.8687	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.92487	0.580241	5.81509	-0.000164149	-0.000798002	lidar	3.57682	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.17007	0.580219	5.50659	-0.000167556	-0.000685216	radar	2.65368	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.46697	0.580221	5.57503	-0.000134488	-0.000438357	lidar	2.0833	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.73263	0.580271	5.45467	-6.11312e-05	-0.000155838	radar	0.910748	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.00618	0.580397	5.45682	7.47208e-05	0.000266355	lidar	0.144833	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.28084	0.579155	5.38258	-0.00105677	-0.00281037	radar	2.83189	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.59582	0.576999	5.49081	-0.00272699	-0.00653397	lidar	7.69715	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.88005	0.577412	5.5091	-0.00214065	-0.00452324	radar	1.58822	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.17742	0.576756	5.55642	-0.0023875	-0.00458764	lidar	0.902292	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
